city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;order_for_place;place_type;state
Carmo;3301207;    60; 317,54432;2020-06-23;0,0333;   2;   18895;TRUE; 53;city;RJ
Casimiro de Abreu;3301306;   306; 692,55839;2020-06-23;0,0327;  10;   44184;TRUE; 78;city;RJ
Comendador Levy Gasparian;3300951;    40; 467,23514;2020-06-23;0,0000;   0;    8561;TRUE; 37;city;RJ
ConceiÃ§Ã£o de Macabu;3301405;   156; 671,60324;2020-06-23;0,0064;   1;   23228;TRUE; 63;city;RJ
Cordeiro;3301504;    29; 132,26307;2020-06-23;0,0000;   0;   21926;TRUE; 59;city;RJ
Duas Barras;3301603;     7;  60,91194;2020-06-23;0,0000;   0;   11492;TRUE; 28;city;RJ
Duque de Caxias;3301702;  2775; 301,76295;2020-06-23;0,1380; 383;  919596;TRUE; 92;city;RJ
Engenheiro Paulo de Frontin;3301801;    46; 328,52450;2020-06-23;0,0435;   2;   14002;TRUE; 50;city;RJ
Guapimirim;3301850;   699;1155,04734;2020-06-23;0,0486;  34;   60517;TRUE; 97;city;RJ
Iguaba Grande;3301876;   154; 543,97739;2020-06-23;0,1299;  20;   28310;TRUE; 82;city;RJ
Importados/Indefinidos;NA;     0;NA;2020-06-23;0,0000;   0;NA;TRUE; 95;city;RJ
ItaboraÃ­;3301900;  2213; 919,81446;2020-06-23;0,0533; 118;  240592;TRUE; 89;city;RJ
ItaguaÃ­;3302007;  1238; 930,69411;2020-06-23;0,0582;  72;  133019;TRUE; 83;city;RJ
Italva;3302056;   139; 914,05274;2020-06-23;0,0216;   3;   15207;TRUE; 58;city;RJ
Itaocara;3302106;    89; 383,05931;2020-06-23;0,0449;   4;   23234;TRUE; 54;city;RJ
Itaperuna;3302205;   554; 536,69689;2020-06-23;0,0018;   1;  103224;TRUE; 80;city;RJ
Itatiaia;3302254;    23;  72,31567;2020-06-23;0,0000;   0;   31805;TRUE; 75;city;RJ
Japeri;3302270;   156; 148,90043;2020-06-23;0,1154;  18;  104768;TRUE; 78;city;RJ
Laje do MuriaÃ©;3302304;    91;1237,25357;2020-06-23;0,0000;   0;    7355;TRUE; 44;city;RJ
MacaÃ©;3302403;  1853; 721,93305;2020-06-23;0,0372;  69;  256672;TRUE; 85;city;RJ
Macuco;3302452;     9; 160,74299;2020-06-23;0,0000;   0;    5599;TRUE; 62;city;RJ
